ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,231.30,231.85,230.50,230.90,0
2026-06-25T09:16:00+05:30,230.80,231.00,230.35,230.65,120107
2026-06-25T09:17:00+05:30,230.50,231.05,230.45,230.80,376209
2026-06-25T09:18:00+05:30,230.65,230.70,230.40,230.70,75219
2026-06-25T09:19:00+05:30,230.70,230.80,230.05,230.40,230452
2026-06-25T09:20:00+05:30,230.45,230.80,230.45,230.65,107740
2026-06-25T09:21:00+05:30,230.65,230.90,230.60,230.90,134114
2026-06-25T09:22:00+05:30,230.85,231.45,230.65,231.45,111901
2026-06-25T09:23:00+05:30,231.30,231.45,231.10,231.15,137954
2026-06-25T09:24:00+05:30,231.25,231.25,230.85,231.00,53647
2026-06-25T09:25:00+05:30,230.95,231.00,230.85,230.90,57977
2026-06-25T09:26:00+05:30,230.85,231.00,230.75,230.75,148260
2026-06-25T09:27:00+05:30,230.75,230.75,230.35,230.50,142342
2026-06-25T09:28:00+05:30,230.50,230.95,230.50,230.80,108252
2026-06-25T09:29:00+05:30,230.90,230.90,230.50,230.70,99580
2026-06-25T09:30:00+05:30,230.75,230.90,230.65,230.65,62936
2026-06-25T09:31:00+05:30,230.60,230.60,230.30,230.35,95609
2026-06-25T09:32:00+05:30,230.35,230.75,230.30,230.75,59992
2026-06-25T09:33:00+05:30,230.75,230.85,230.65,230.75,69399
2026-06-25T09:34:00+05:30,230.75,231.40,230.75,231.40,285233
2026-06-25T09:35:00+05:30,231.40,232.50,231.40,232.00,459941
2026-06-25T09:36:00+05:30,232.00,232.10,231.90,232.00,271040
2026-06-25T09:37:00+05:30,232.05,232.45,232.05,232.35,443150
2026-06-25T09:38:00+05:30,232.30,232.30,231.35,231.35,222409
2026-06-25T09:39:00+05:30,231.45,231.60,231.20,231.60,173474
2026-06-25T09:40:00+05:30,231.60,231.90,231.40,231.70,118665
2026-06-25T09:41:00+05:30,231.85,231.90,231.60,231.60,61879
2026-06-25T09:42:00+05:30,231.60,231.60,231.35,231.40,62960
2026-06-25T09:43:00+05:30,231.50,231.50,231.05,231.05,175838
2026-06-25T09:44:00+05:30,231.15,231.25,231.05,231.15,42822
2026-06-25T09:45:00+05:30,231.15,231.45,231.10,231.45,52381
2026-06-25T09:46:00+05:30,231.50,231.50,231.45,231.50,34145
2026-06-25T09:47:00+05:30,231.45,231.50,231.20,231.20,86303
2026-06-25T09:48:00+05:30,231.05,231.15,230.85,230.85,106908
2026-06-25T09:49:00+05:30,230.90,230.90,230.70,230.70,32561
2026-06-25T09:50:00+05:30,230.75,230.75,230.45,230.65,92009
2026-06-25T09:51:00+05:30,230.60,230.80,230.60,230.80,37771
2026-06-25T09:52:00+05:30,230.90,230.90,230.60,230.60,40115
2026-06-25T09:53:00+05:30,230.70,230.85,230.50,230.80,44604
2026-06-25T09:54:00+05:30,230.80,231.20,230.80,231.20,40262
2026-06-25T09:55:00+05:30,231.20,231.20,230.90,231.00,60326
2026-06-25T09:56:00+05:30,231.05,231.15,230.95,231.15,30217
2026-06-25T09:57:00+05:30,231.15,231.20,230.85,230.85,51930
2026-06-25T09:58:00+05:30,230.80,230.95,230.55,230.60,49567
2026-06-25T09:59:00+05:30,230.75,230.90,230.75,230.75,29522
2026-06-25T10:00:00+05:30,230.80,230.85,230.60,230.60,36442
