sym,ts,cls,adverse_beyond_sl_R,mfe_after_R
COALINDIA,2026-05-18 09:20:00+05:30,shaken_winner,7.0,10.6
COALINDIA,2026-05-20 11:05:00+05:30,true_loser,41.75,3.5
COALINDIA,2026-06-02 10:05:00+05:30,true_loser,7.89,4.9
COALINDIA,2026-06-02 11:05:00+05:30,true_loser,16.9,5.6
COALINDIA,2026-07-08 09:20:00+05:30,shaken_winner,0.93,23.0
COALINDIA,2026-07-08 09:25:00+05:30,shaken_winner,15.67,45.7
COALINDIA,2026-07-08 09:40:00+05:30,shaken_winner,3.42,7.6
COALINDIA,2026-07-08 10:50:00+05:30,shaken_winner,9.33,31.2
COALINDIA,2026-07-09 11:35:00+05:30,true_loser,13.38,3.6
COALINDIA,2026-07-13 09:30:00+05:30,shaken_winner,26.75,29.8
COALINDIA,2026-07-15 09:20:00+05:30,true_loser,17.27,2.8
COALINDIA,2026-07-16 09:55:00+05:30,true_loser,4.44,2.0
COALINDIA,2026-07-22 10:30:00+05:30,true_loser,15.5,15.5
COALINDIA,2026-07-22 10:35:00+05:30,true_loser,25.71,9.9
COFORGE,2026-01-13 10:10:00+05:30,true_loser,3.64,5.4
COFORGE,2026-04-30 09:25:00+05:30,true_loser,17.03,1.0
COFORGE,2026-06-18 10:10:00+05:30,shaken_winner,3.86,17.3
COFORGE,2026-06-29 09:35:00+05:30,shaken_winner,1.67,24.1
COLPAL,2026-02-06 09:30:00+05:30,shaken_winner,5.65,44.9
COLPAL,2026-02-09 10:25:00+05:30,true_loser,39.79,20.9
COLPAL,2026-02-10 09:25:00+05:30,true_loser,14.37,14.8
COLPAL,2026-02-10 09:55:00+05:30,true_loser,19.0,29.3
COLPAL,2026-02-10 10:55:00+05:30,true_loser,25.15,30.6
COLPAL,2026-02-11 11:15:00+05:30,true_loser,4.11,86.0
COLPAL,2026-02-11 13:05:00+05:30,true_loser,6.83,128.8
COLPAL,2026-02-18 09:25:00+05:30,true_loser,14.41,8.5
COLPAL,2026-02-20 09:20:00+05:30,true_loser,0.7,17.2
COLPAL,2026-03-04 11:40:00+05:30,true_loser,16.86,32.6
COLPAL,2026-03-04 13:20:00+05:30,true_loser,38.5,48.8
COLPAL,2026-03-05 14:55:00+05:30,true_loser,21.92,-4.8
COLPAL,2026-03-05 15:15:00+05:30,true_loser,35.73,-5.3
COLPAL,2026-03-06 09:30:00+05:30,shaken_winner,21.3,31.8
COLPAL,2026-03-06 10:45:00+05:30,shaken_winner,0.07,11.8
COLPAL,2026-03-10 12:50:00+05:30,shaken_winner,6.44,134.6
COLPAL,2026-03-10 14:30:00+05:30,shaken_winner,9.17,168.7
COLPAL,2026-04-24 09:30:00+05:30,shaken_winner,11.9,4.4
COLPAL,2026-05-19 11:40:00+05:30,shaken_winner,17.09,54.2
COLPAL,2026-05-21 10:20:00+05:30,shaken_winner,5.3,56.5
COLPAL,2026-06-23 15:05:00+05:30,true_loser,37.0,34.7
COLPAL,2026-06-24 10:25:00+05:30,true_loser,2.7,2.8
COLPAL,2026-07-20 11:10:00+05:30,true_loser,76.24,-28.4
CROMPTON,2026-03-23 09:25:00+05:30,true_loser,21.8,8.1
CROMPTON,2026-04-16 11:45:00+05:30,true_loser,45.71,1.8
CROMPTON,2026-06-02 09:40:00+05:30,true_loser,3.88,13.5
CROMPTON,2026-06-04 10:35:00+05:30,shaken_winner,5.14,54.1
DABUR,2026-01-20 10:45:00+05:30,shaken_winner,31.14,59.0
DABUR,2026-01-22 13:05:00+05:30,true_loser,15.0,21.8
DABUR,2026-01-29 09:40:00+05:30,true_loser,45.8,35.4
DABUR,2026-01-30 13:05:00+05:30,shaken_winner,44.67,34.8
DABUR,2026-02-01 11:35:00+05:30,true_loser,58.67,12.1
DABUR,2026-02-01 12:45:00+05:30,true_loser,32.74,0.3
DABUR,2026-02-23 09:25:00+05:30,shaken_winner,2.47,33.2
DABUR,2026-02-26 09:20:00+05:30,shaken_winner,7.53,23.2
DABUR,2026-03-04 09:50:00+05:30,true_loser,176.0,-62.1
DABUR,2026-05-21 09:20:00+05:30,true_loser,31.33,41.3
DLF,2026-01-08 11:40:00+05:30,true_loser,63.88,6.2
DLF,2026-02-11 09:55:00+05:30,shaken_winner,0.8,37.8
DLF,2026-02-11 11:10:00+05:30,shaken_winner,6.93,123.9
DLF,2026-02-26 09:50:00+05:30,true_loser,11.17,4.6
DLF,2026-02-26 09:55:00+05:30,true_loser,20.27,11.1
DLF,2026-03-19 09:25:00+05:30,true_loser,25.23,3.2
DLF,2026-06-04 10:35:00+05:30,shaken_winner,4.87,19.3
DLF,2026-06-08 09:30:00+05:30,true_loser,27.6,0.9
DLF,2026-06-10 14:40:00+05:30,shaken_winner,70.0,63.8
HAVELLS,2026-02-18 09:50:00+05:30,shaken_winner,1.08,21.8
HAVELLS,2026-03-13 15:30:00+05:30,shaken_winner,23.71,29.7
HAVELLS,2026-03-16 11:05:00+05:30,shaken_winner,34.11,45.1
HAVELLS,2026-03-19 11:30:00+05:30,true_loser,40.0,11.3
HAVELLS,2026-03-20 09:45:00+05:30,true_loser,86.47,2.3
HAVELLS,2026-03-27 10:00:00+05:30,true_loser,4.09,-0.6
HAVELLS,2026-04-30 09:20:00+05:30,true_loser,-0.1,14.0
HAVELLS,2026-05-04 10:05:00+05:30,true_loser,18.41,9.2
HAVELLS,2026-05-11 09:20:00+05:30,true_loser,100.73,17.9
TITAN,2026-02-12 09:25:00+05:30,true_loser,-0.53,25.7
TITAN,2026-02-23 09:20:00+05:30,true_loser,53.89,8.4
TITAN,2026-03-23 09:35:00+05:30,true_loser,73.34,0.2
TITAN,2026-03-24 09:20:00+05:30,shaken_winner,1.33,54.1
TITAN,2026-05-14 09:20:00+05:30,shaken_winner,3.47,25.5
TITAN,2026-06-01 09:25:00+05:30,shaken_winner,28.92,10.0
VOLTAS,2026-01-29 09:20:00+05:30,true_loser,28.18,2.9
VOLTAS,2026-01-29 10:30:00+05:30,true_loser,28.18,2.9
VOLTAS,2026-03-13 10:25:00+05:30,true_loser,19.66,-4.1
VOLTAS,2026-04-01 11:25:00+05:30,true_loser,64.73,-17.1
VOLTAS,2026-05-13 14:15:00+05:30,shaken_winner,18.76,16.1
VOLTAS,2026-05-15 09:20:00+05:30,shaken_winner,59.36,7.3
VOLTAS,2026-05-21 09:35:00+05:30,true_loser,54.36,2.6
VOLTAS,2026-05-21 11:50:00+05:30,shaken_winner,1.44,4.6
VOLTAS,2026-05-22 09:35:00+05:30,shaken_winner,7.79,15.7
VOLTAS,2026-05-25 10:25:00+05:30,true_loser,36.0,7.2
VOLTAS,2026-05-26 09:55:00+05:30,true_loser,96.57,6.1
VOLTAS,2026-05-27 09:50:00+05:30,shaken_winner,21.88,18.2
VOLTAS,2026-05-29 12:20:00+05:30,shaken_winner,38.2,31.3
VOLTAS,2026-05-29 12:35:00+05:30,shaken_winner,39.89,33.3
VOLTAS,2026-06-08 09:35:00+05:30,shaken_winner,27.0,35.8
VOLTAS,2026-06-16 11:55:00+05:30,shaken_winner,14.73,41.5
VOLTAS,2026-06-30 09:35:00+05:30,shaken_winner,24.15,25.9
VOLTAS,2026-07-07 10:05:00+05:30,shaken_winner,32.4,17.6
