detector,event,n,hit,base,edge,fwd12,mfe,mae,edge_by_strength
propulsion2,PROPULSION2,26,0.5769230769230769,0.3288461538461539,0.24807692307692297,-0.6302501225783153,1.7787718033980535,2.0398118862515777,-
fvg_n,IFVG_RETEST,124,0.49193548387096775,0.32298387096774195,0.1689516129032258,0.13655953828320214,2.2004681982342205,1.9622029488445432,-
ob_taught,OB_RETEST,39,0.41025641025641024,0.26153846153846155,0.1487179487179487,-0.6673621660825302,1.7820520922777807,2.7222278310603483,-
fvg_n,FVG_N_RETEST,130,0.5076923076923077,0.4046153846153846,0.10307692307692307,0.010054926229867424,2.1062974268752015,2.027576251473928,-
wyckoff,PHASE,197,0.5279187817258884,0.44060913705583754,0.08730964467005081,0.20540469892546495,2.2983418103420035,2.286106368645883,-
fvg,CE_HOLD,177,0.5084745762711864,0.430225988700565,0.07824858757062142,0.23048627898117938,2.10267980384744,1.916894346213178,-
ob_taught,BRK_RETEST,14,0.35714285714285715,0.2857142857142857,0.07142857142857145,-0.5544901165828057,1.5533541386478447,2.4181247947781013,-
orderblock,OB_RETEST,231,0.48917748917748916,0.41774891774891776,0.0714285714285714,0.1538083920118854,2.0369296748954873,1.7164597513736888,+0.12/+0.07/+0.03
sweep,SWEEP,56,0.48214285714285715,0.44642857142857145,0.0357142857142857,-0.17029009476224585,1.8151376201620657,2.0378767963761586,+0.12/+0.13/-0.16
ob_taught,MIT_RETEST,18,0.3888888888888889,0.37500000000000006,0.01388888888888884,-0.5117034648767631,1.9399597498435766,2.152275132009154,-
wyckoff,SPRING,1,0.0,0.0,0.0,,0.0,0.0,-
compression,BOX_ON_LEVEL,65,0.4153846153846154,0.4584615384615385,-0.04307692307692307,0.05167758835329869,1.994953316521974,2.1640185381936923,-
htf_nest,NEST,38,0.4473684210526316,0.5315789473684212,-0.08421052631578957,-0.2659929050311307,1.7669669606655887,2.782439614894733,+0.03/+0.16/-0.47
fvg,BPR,7,0.42857142857142855,0.8357142857142856,-0.4071428571428571,0.9084583768168413,3.4967172818689183,1.8510799449960433,-
liquidity,POOL_NEAR,71,,,,1.6306517803440808,2.0354357270190553,2.0885011525260833,-
premium_discount,,28,,,,1.5457121394042288,1.5422275142953399,2.515454153266094,-
